id,video,exp1_gal,obs1_gal,obs2_gal,exp2_gal
1,49,1,1,1,1
1,41,1,1,1,1
1,32,1,1,1,1
1,37,2,3,2,2
1,43,2,2,2,2
1,10,2,1,2,2
1,63,3,3,3,3
1,17,3,3,3,3
1,22,3,3,3,3
1,66,4,4,4,4
1,7,4,4,4,4
1,20,4,4,4,4
2,49,1,1,1,1
2,41,1,1,1,1
2,32,1,1,1,1
2,37,2,3,2,2
2,43,2,3,2,2
2,10,2,2,2,2
2,63,3,3,3,3
2,17,3,3,3,3
2,22,3,3,3,3
2,66,4,4,4,4
2,7,4,4,4,4
2,20,4,4,4,4
3,49,1,1,1,1
3,41,1,1,1,1
3,32,1,1,1,1
3,37,2,3,2,2
3,43,2,2,3,2
3,10,2,2,2,2
3,63,3,3,3,3
3,17,3,3,3,3
3,22,3,3,3,3
3,66,4,4,4,4
3,7,4,4,4,4
3,20,4,4,4,4
4,49,1,1,1,1
4,41,1,1,1,1
4,32,1,1,1,1
4,37,2,2,2,2
4,43,2,2,3,2
4,10,2,2,3,2
4,63,3,3,3,3
4,17,3,3,3,3
4,22,3,3,3,3
4,66,4,3,4,4
4,7,4,3,4,4
4,20,4,4,4,4
5,49,1,1,1,1
5,41,1,1,1,1
5,32,1,1,1,1
5,37,2,2,2,2
5,43,2,2,2,2
5,10,2,2,2,2
5,63,3,3,3,3
5,17,3,3,3,3
5,22,3,3,3,3
5,66,4,2,1,4
5,7,4,4,4,4
5,20,4,4,4,4
6,49,1,1,1,1
6,41,1,1,1,1
6,32,1,1,1,1
6,37,2,2,2,2
6,43,2,3,2,2
6,10,2,1,2,2
6,63,3,3,3,3
6,17,3,3,3,3
6,22,3,4,3,3
6,66,4,4,4,4
6,7,4,4,4,4
6,20,4,4,4,4
7,49,1,2,3,1
7,41,1,1,1,1
7,32,1,1,1,1
7,37,2,2,3,2
7,43,2,3,2,2
7,10,2,2,2,2
7,63,3,3,3,3
7,17,3,3,2,3
7,22,3,4,3,3
7,66,4,4,4,4
7,7,4,4,4,4
7,20,4,4,4,4
8,49,1,1,1,1
8,41,1,1,1,1
8,32,1,1,1,1
8,37,2,2,2,2
8,43,2,3,2,2
8,10,2,1,2,2
8,63,3,3,3,3
8,17,3,3,3,3
8,22,3,3,3,3
8,66,4,3,4,4
8,7,4,4,4,4
8,20,4,4,4,4
9,49,1,2,1,1
9,41,1,1,1,1
9,32,1,2,1,1
9,37,2,2,2,2
9,43,2,2,2,2
9,10,2,2,2,2
9,63,3,3,3,3
9,17,3,3,3,3
9,22,3,3,3,3
9,66,4,4,4,4
9,7,4,4,4,4
9,20,4,4,4,4
10,49,1,1,1,1
10,41,1,1,1,1
10,32,1,1,1,1
10,37,2,2,2,2
10,43,2,2,2,2
10,10,2,2,2,2
10,63,3,3,3,3
10,17,3,3,3,3
10,22,3,3,3,3
10,66,4,4,4,4
10,7,4,4,4,4
10,20,4,4,3,4
11,49,1,1,1,1
11,41,1,1,1,1
11,32,1,1,1,1
11,37,2,2,2,2
11,43,2,2,2,2
11,10,2,2,2,2
11,63,3,3,3,3
11,17,3,3,3,3
11,22,3,4,4,3
11,66,4,4,4,4
11,7,4,4,4,4
11,20,4,2,4,4
12,49,1,1,1,1
12,41,1,1,1,1
12,32,1,2,2,1
12,37,2,2,2,2
12,43,2,3,3,2
12,10,2,2,2,2
12,63,3,3,3,3
12,17,3,3,3,3
12,22,3,3,3,3
12,66,4,4,4,4
12,7,4,4,4,4
12,20,4,4,4,4
13,49,1,1,2,1
13,41,1,1,1,1
13,32,1,1,1,1
13,37,2,2,2,2
13,43,2,2,2,2
13,10,2,2,2,2
13,63,3,3,3,3
13,17,3,3,3,3
13,22,3,3,3,3
13,66,4,4,4,4
13,7,4,4,4,4
13,20,4,4,4,4
14,49,1,1,2,1
14,41,1,1,1,1
14,32,1,1,1,1
14,37,2,2,2,2
14,43,2,2,2,2
14,10,2,2,2,2
14,63,3,3,3,3
14,17,3,3,3,3
14,22,3,3,2,3
14,66,4,2,2,4
14,7,4,2,2,4
14,20,4,4,4,4
15,49,1,1,1,1
15,41,1,1,1,1
15,32,1,1,1,1
15,37,2,2,2,2
15,43,2,2,2,2
15,10,2,2,2,2
15,63,3,3,3,3
15,17,3,3,3,3
15,22,3,3,3,3
15,66,4,4,4,4
15,7,4,4,4,4
15,20,4,4,4,4
16,49,1,1,1,1
16,41,1,1,1,1
16,32,1,1,1,1
16,37,2,2,2,2
16,43,2,2,2,2
16,10,2,2,2,2
16,63,3,3,3,3
16,17,3,3,4,3
16,22,3,3,3,3
16,66,4,2,4,4
16,7,4,4,2,4
16,20,4,3,4,4
17,49,1,1,1,1
17,41,1,1,1,1
17,32,1,1,1,1
17,37,2,2,2,2
17,43,2,2,2,2
17,10,2,2,2,2
17,63,3,3,3,3
17,17,3,3,3,3
17,22,3,3,3,3
17,66,4,4,4,4
17,7,4,4,2,4
17,20,4,4,4,4
18,49,1,1,1,1
18,41,1,1,1,1
18,32,1,1,1,1
18,37,2,2,2,2
18,43,2,2,2,2
18,10,2,2,2,2
18,63,3,3,2,3
18,17,3,3,3,3
18,22,3,3,2,3
18,66,4,4,4,4
18,7,4,4,4,4
18,20,4,4,4,4
19,49,1,1,1,1
19,41,1,1,1,1
19,32,1,1,1,1
19,37,2,2,2,2
19,43,2,2,2,2
19,10,2,2,2,2
19,63,3,2,3,3
19,17,3,3,3,3
19,22,3,3,3,3
19,66,4,2,2,4
19,7,4,4,4,4
19,20,4,4,4,4
20,49,1,1,1,1
20,41,1,1,1,1
20,32,1,1,1,1
20,37,2,2,2,2
20,43,2,2,2,2
20,10,2,2,2,2
20,63,3,3,3,3
20,17,3,3,4,3
20,22,3,3,3,3
20,66,4,4,4,4
20,7,4,4,4,4
20,20,4,4,4,4
21,49,1,1,1,1
21,41,1,1,1,1
21,32,1,1,1,1
21,37,2,2,2,2
21,43,2,2,2,2
21,10,2,2,2,2
21,63,3,3,2,3
21,17,3,3,3,3
21,22,3,3,3,3
21,66,4,4,1,4
21,7,4,3,4,4
21,20,4,2,2,4
22,49,1,1,2,1
22,41,1,1,1,1
22,32,1,3,1,1
22,37,2,2,2,2
22,43,2,2,2,2
22,10,2,2,2,2
22,63,3,3,3,3
22,17,3,3,3,3
22,22,3,3,3,3
22,66,4,2,4,4
22,7,4,2,2,4
22,20,4,3,4,4
23,49,1,2,1,1
23,41,1,1,1,1
23,32,1,3,1,1
23,37,2,2,2,2
23,43,2,2,2,2
23,10,2,2,2,2
23,63,3,3,3,3
23,17,3,3,3,3
23,22,3,3,3,3
23,66,4,2,4,4
23,7,4,4,4,4
23,20,4,4,4,4
24,49,1,1,1,1
24,41,1,1,1,1
24,32,1,3,1,1
24,37,2,2,2,2
24,43,2,2,2,2
24,10,2,2,2,2
24,63,3,3,3,3
24,17,3,3,3,3
24,22,3,3,3,3
24,66,4,4,2,4
24,7,4,2,4,4
24,20,4,4,4,4
25,49,1,1,1,1
25,41,1,1,1,1
25,32,1,1,1,1
25,37,2,2,2,2
25,43,2,2,2,2
25,10,2,2,2,2
25,63,3,3,3,3
25,17,3,3,3,3
25,22,3,3,3,3
25,66,4,4,4,4
25,7,4,4,4,4
25,20,4,4,4,4
26,49,1,1,1,1
26,41,1,1,1,1
26,32,1,1,1,1
26,37,2,2,2,2
26,43,2,3,2,2
26,10,2,2,2,2
26,63,3,3,3,3
26,17,3,3,3,3
26,22,3,3,3,3
26,66,4,2,4,4
26,7,4,4,4,4
26,20,4,4,2,4
27,49,1,1,1,1
27,41,1,1,1,1
27,32,1,1,1,1
27,37,2,2,2,2
27,43,2,2,2,2
27,10,2,2,2,2
27,63,3,3,3,3
27,17,3,2,3,3
27,22,3,2,2,3
27,66,4,4,2,4
27,7,4,2,4,4
27,20,4,4,2,4
28,49,1,1,1,1
28,41,1,1,1,1
28,32,1,1,1,1
28,37,2,2,2,2
28,43,2,2,2,2
28,10,2,2,2,2
28,63,3,3,3,3
28,17,3,3,3,3
28,22,3,3,3,3
28,66,4,4,4,4
28,7,4,4,4,4
28,20,4,4,4,4
29,49,1,1,1,1
29,41,1,1,1,1
29,32,1,1,1,1
29,37,2,2,2,2
29,43,2,2,2,2
29,10,2,2,2,2
29,63,3,3,3,3
29,17,3,3,3,3
29,22,3,3,3,3
29,66,4,4,1,4
29,7,4,4,4,4
29,20,4,4,4,4
30,49,1,1,1,1
30,41,1,1,1,1
30,32,1,1,1,1
30,37,2,2,2,2
30,43,2,2,3,2
30,10,2,2,2,2
30,63,3,3,3,3
30,17,3,3,3,3
30,22,3,3,3,3
30,66,4,2,4,4
30,7,4,4,4,4
30,20,4,4,4,4
